=== cleared on app start (version=2.1, time=21:41:30) ===
21:41:30.848 killPlatformApps: killed com.ucmobile.lite for UC
21:41:30.855 killPlatformApps: killed com.eg.android.AlipayGphone for ALIPAY
21:41:30.856 killPlatformApps: killed com.taobao.taobao for TAOBAO
21:41:31.173 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.403 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:31.585 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:31.642 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.674 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.711 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.748 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.782 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.804 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.852 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.878 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.895 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.918 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.954 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:31.969 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.005 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.019 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.032 collectTaskContextText: result='', buttonText='2s后领取', containerFound=false
21:41:32.044 collectTaskContextText: result='', buttonText='2s后领取', containerFound=false
21:41:32.057 collectTaskContextText: result='', buttonText='2s后领取', containerFound=false
21:41:32.069 collectTaskContextText: result='', buttonText='2s后领取', containerFound=false
21:41:32.081 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.103 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.118 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:32.135 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.150 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.163 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.176 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.188 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.201 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:32.213 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.224 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.240 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.256 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:32.276 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.294 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.314 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.337 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.366 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:32.397 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.430 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.450 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.478 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.503 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.534 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:32.559 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.589 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.628 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:32.672 collectTaskContextText: result='', buttonText='1s后领取', containerFound=false
21:41:32.724 collectTaskContextText: result='', buttonText='1s后领取', containerFound=false
21:41:32.763 collectTaskContextText: result='', buttonText='1s后领取', containerFound=false
21:41:32.801 collectTaskContextText: result='', buttonText='1s后领取', containerFound=false
21:41:32.830 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.860 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.881 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.907 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.932 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:32.971 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:32.990 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:33.007 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:33.028 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:33.045 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:33.068 collectTaskContextText: result='', buttonText='null', containerFound=false
21:41:33.086 collectTaskContextText: result='', buttonText='', containerFound=false
21:41:33.108 collectTaskContextText: result='', buttonText='', containerFound=false
